period,canonical_q_code,target_repetition,first_exact_exclusion_depth
17,1,False,3
17,73,False,3
17,137,False,3
17,273,False,4
17,8773,False,3
17,8777,False,4
17,9289,False,4
18,0,False,4
18,9,False,3
18,17,False,4
18,1097,False,3
18,1105,False,3
18,1161,False,3
18,2185,False,3
18,2193,False,3
18,4369,False,5
18,37449,False,3
19,1,False,3
19,73,False,3
19,137,False,3
19,273,False,4
19,1041,False,3
19,2065,False,3
19,4681,False,3
19,8777,False,3
19,9289,False,3
19,34953,False,5
20,0,False,4
20,9,False,3
20,17,False,4
20,585,False,3
20,1097,False,3
20,1105,False,3
20,1161,False,3
20,2185,False,3
20,2193,False,3
20,4369,False,4
20,8713,False,3
20,16657,False,3
20,17425,False,3
20,70213,False,3
20,70217,False,4
20,70725,False,2
20,74309,False,3
20,74313,False,3
20,74825,False,4
21,1,False,3
21,73,False,3
21,137,False,3
21,273,False,4
21,1041,False,3
21,4113,False,3
21,4681,False,3
21,8777,False,3
21,8841,False,3
21,9289,False,3
21,17481,False,3
21,17489,False,3
21,17545,False,3
21,17553,False,3
21,18569,False,3
21,34953,False,4
21,34961,False,4
21,69905,False,3
21,299593,False,3
22,0,False,4
22,9,False,3
22,17,False,4
22,585,False,3
22,1097,False,3
22,1105,False,3
22,1161,False,3
22,2185,False,4
22,2193,False,4
22,4369,False,4
22,8329,False,3
22,8713,False,3
22,16457,False,3
22,16521,False,3
22,16529,False,3
22,16657,False,3
22,17417,False,3
22,17425,False,3
22,18441,False,3
22,33041,False,3
22,34833,False,3
22,66577,False,3
22,37449,False,3
22,70217,False,3
22,70729,False,3
22,74313,False,3
22,74825,False,3
22,279621,False,3
22,279625,False,5
22,279689,False,4
22,280713,False,4
23,1,False,3
23,73,False,3
23,137,False,3
23,273,False,4
23,1041,False,3
23,2065,False,3
23,4113,False,3
23,8209,False,3
23,4681,False,3
23,8777,False,3
23,8841,False,3
23,9289,False,3
23,17481,False,3
23,17489,False,3
23,17545,False,3
23,17553,False,3
23,18569,False,3
23,33353,False,3
23,34953,False,4
23,34961,False,4
23,66633,False,3
23,69705,False,3
23,69905,False,4
23,73865,False,3
23,133257,False,3
23,133265,False,3
23,139401,False,3
23,139785,False,3
23,561733,False,3
23,561737,False,3
23,565829,False,3
23,594501,False,3
23,594505,False,3
23,598601,False,3
24,0,False,4
24,9,False,3
24,17,False,4
24,585,False,3
24,1097,False,3
24,1105,False,3
24,1161,False,3
24,2185,False,4
24,2193,False,4
24,4369,False,4
24,8329,False,3
24,8337,False,3
24,8713,False,3
24,16457,False,3
24,16657,False,3
24,17417,False,3
24,17425,False,3
24,32905,False,3
24,32913,False,3
24,33041,False,3
24,34825,False,3
24,34833,False,3
24,65809,False,3
24,66577,False,3
24,66625,False,3
24,69649,False,3
24,37449,False,3
24,70217,False,3
24,70729,False,3
24,74313,False,3
24,74377,False,3
24,74825,False,3
24,139849,False,3
24,139913,False,3
24,140361,False,3
24,140369,False,3
24,140425,False,3
24,140433,False,3
24,141449,False,3
24,148553,False,3
24,148617,False,3
24,279625,False,4
24,279633,False,3
24,279689,False,4
24,279697,False,4
24,279825,False,3
24,280713,False,4
24,280721,False,4
24,297097,False,3
24,559241,False,3
24,559249,False,3
24,559377,False,3
24,1118481,True,
24,2396745,False,3
